MasterTrader  Version 0.3.7.6
No,Time,Type,Data,Message
50,11:09:58.4657482,ORMS,Debug,Order sent.,QID:3
51,11:09:58.5126164,ORMS,Debug,Order Mapping received.,QID:3 | OID:3
52,11:09:58.5281342,ORMS,Debug,Order sent.,QID:4
53,11:09:58.5751306,ORMS,Debug,Order Mapping received.,QID:4 | OID:4
54,11:09:58.5907122,ORMS,Debug,Order sent.,QID:5
55,11:09:58.6376001,ORMS,Debug,Order Mapping received.,QID:5 | OID:5
56,11:09:58.6532278,ORMS,Debug,Order sent.,QID:6
57,11:09:58.6532278,Confirmation Panel,Algo,ERROR : exchg not enabled for this acct ,{\colortbl;\red0\green0\blue255;}\cf1\b exchg not enabled for this acct \b0
58,11:09:58.6532278,Algo,DEBUG,exchg not enabled for this acct,
59,11:09:58.7001006,ORMS,Debug,Order Mapping received.,QID:6 | OID:6
60,11:09:58.7157228,ORMS,Debug,Order sent.,QID:7
61,11:09:58.7625807,ORMS,Debug,Order Mapping received.,QID:7 | OID:7
62,11:09:58.7781111,ORMS,Debug,Order sent.,QID:8
63,11:09:58.8250851,ORMS,Debug,Order Mapping received.,QID:8 | OID:8
64,11:09:58.8406977,ORMS,Debug,Order sent.,QID:9
65,11:09:58.8406977,Confirmation Panel,Algo,ERROR : RMS:Margin Exceeds,Required:154996.05, Available:123811.00 for entity account-7AXU39390 across exchange across segment across product  ,{\colortbl;\red0\green0\blue255;}\cf1\b RMS:Margin Exceeds,Required:154996.05, Available:123811.00 for entity account-7AXU39390 across exchange across segment across product  \b0
66,11:09:58.8406977,Algo,DEBUG,RMS:Margin Exceeds,Required:154996.05, Available:123811.00 for entity account-7AXU39390 across exchange across segment across product ,
67,11:09:58.8874710,ORMS,Debug,Order Mapping received.,QID:9 | OID:9
68,11:09:59.9187232,ORMS,Debug,Order sent.,QID:10
69,11:09:59.9655352,ORMS,Debug,Order Mapping received.,QID:10 | OID:10
70,11:09:59.9812303,ORMS,Debug,Order sent.,QID:11
71,11:10:00.0280915,ORMS,Debug,Order Mapping received.,QID:11 | OID:11
72,11:10:00.0437057,ORMS,Debug,Order sent.,QID:12
73,11:10:00.0905959,ORMS,Debug,Order Mapping received.,QID:12 | OID:12
74,11:10:00.1061636,ORMS,Debug,Order sent.,QID:13
75,11:10:00.1530863,ORMS,Debug,Order Mapping received.,QID:13 | OID:13
76,11:10:00.1685863,ORMS,Debug,Order sent.,QID:14
77,11:10:00.2155629,ORMS,Debug,Order Mapping received.,QID:14 | OID:14
78,11:10:00.2311882,ORMS,Debug,Order sent.,QID:15
79,11:10:00.3093181,ORMS,Debug,Order Mapping received.,QID:15 | OID:-1
80,11:10:00.3249357,ORMS,Debug,Order sent.,QID:16
81,11:10:00.3717914,ORMS,Debug,Order Mapping received.,QID:16 | OID:-1
82,11:10:00.3873875,ORMS,Debug,Order sent.,QID:17
83,11:10:00.4343075,ORMS,Debug,Order Mapping received.,QID:17 | OID:17
84,11:10:00.4499017,Confirmation Panel,SmartMarketWatch,INFO : Side:BUY:Price:1328:Slipage:0:Target:0:stoploss:0:Trail SL:0:TrailPT:0 SID:2,{\colortbl;\red0\green190\blue0;}\cf1\b Side:BUY:Price:1328:Slipage:0:Target:0:stoploss:0:Trail SL:0:TrailPT:0 \b0 SID:2
85,11:10:01.2154150,Confirmation Panel,Algo,ERROR : Strategy Rejected. Reason : Account Id not mapped to dealer ,{\colortbl;\red0\green0\blue255;}\cf1\b Strategy Rejected. Reason : Account Id not mapped to dealer \b0
86,11:10:01.2154150,Algo,DEBUG,Strategy Rejected. Reason : Account Id not mapped to dealer,
87,11:10:01.2154150,Confirmation Panel,Algo,ERROR : Strategy Rejected. Reason : Account Id not mapped to dealer ,{\colortbl;\red0\green0\blue255;}\cf1\b Strategy Rejected. Reason : Account Id not mapped to dealer \b0
88,11:10:01.2154150,Algo,DEBUG,Strategy Rejected. Reason : Account Id not mapped to dealer,
89,11:10:01.2154150,Confirmation Panel,Algo,ERROR : RMS:Margin Exceeds,Required:233565.25, Available:97876.00 for entity account-7AXJ38999 across exchange across segment across product  ,{\colortbl;\red0\green0\blue255;}\cf1\b RMS:Margin Exceeds,Required:233565.25, Available:97876.00 for entity account-7AXJ38999 across exchange across segment across product  \b0
90,11:10:01.2154150,Algo,DEBUG,RMS:Margin Exceeds,Required:233565.25, Available:97876.00 for entity account-7AXJ38999 across exchange across segment across product ,
91,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU099-NRML [Ord.No.2400000024388590] [Remarks:AllStrategies] [OID:1 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU099-NRML \b0 [Ord.No.2400000024388590] [Remarks:AllStrategies] [OID:1 ]
92,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39122-NRML [Ord.No.2400000024388721] [Remarks:AllStrategies] [OID:2 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39122-NRML \b0 [Ord.No.2400000024388721] [Remarks:AllStrategies] [OID:2 ]
93,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU38835-NRML [Ord.No.2400000024390007] [Remarks:AllStrategies] [OID:3 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU38835-NRML \b0 [Ord.No.2400000024390007] [Remarks:AllStrategies] [OID:3 ]
94,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39583-NRML [Ord.No.2400000024390448] [Remarks:AllStrategies] [OID:4 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39583-NRML \b0 [Ord.No.2400000024390448] [Remarks:AllStrategies] [OID:4 ]
95,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order REJECTED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39117-NRML [Ord.No.0] [Remarks:AllStrategies] ErrorCode : 0 [OID:5 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b {\colortbl;\red125\green0\blue0;}\cf3 REJECTED {\colortbl;\red0\green166\blue0;}\cf1 \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39117-NRML \b0 [Ord.No.0] [Remarks:AllStrategies] ErrorCode : 0 [OID:5 ]
96,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39229-NRML [Ord.No.2400000024391088] [Remarks:AllStrategies] [OID:6 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39229-NRML \b0 [Ord.No.2400000024391088] [Remarks:AllStrategies] [OID:6 ]
97,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39131-NRML [Ord.No.2400000024391241] [Remarks:AllStrategies] [OID:7 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39131-NRML \b0 [Ord.No.2400000024391241] [Remarks:AllStrategies] [OID:7 ]
98,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order REJECTED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39390-NRML [Ord.No.0] [Remarks:AllStrategies] ErrorCode : 0 [OID:8 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b {\colortbl;\red125\green0\blue0;}\cf3 REJECTED {\colortbl;\red0\green166\blue0;}\cf1 \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39390-NRML \b0 [Ord.No.0] [Remarks:AllStrategies] ErrorCode : 0 [OID:8 ]
99,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU41080-NRML [Ord.No.2400000024391645] [Remarks:AllStrategies] [OID:9 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU41080-NRML \b0 [Ord.No.2400000024391645] [Remarks:AllStrategies] [OID:9 ]
100,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39147-NRML [Ord.No.2400000024394923] [Remarks:AllStrategies] [OID:10 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39147-NRML \b0 [Ord.No.2400000024394923] [Remarks:AllStrategies] [OID:10 ]
101,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39507-NRML [Ord.No.2400000024395088] [Remarks:AllStrategies] [OID:11 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39507-NRML \b0 [Ord.No.2400000024395088] [Remarks:AllStrategies] [OID:11 ]
102,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU39234-NRML [Ord.No.2400000024395209] [Remarks:AllStrategies] [OID:12 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU39234-NRML \b0 [Ord.No.2400000024395209] [Remarks:AllStrategies] [OID:12 ]
103,11:10:02.4653188,Confirmation Panel,Terminal,NSEFO : NSEFO Order CONFIRMED for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: 7AXU42536-NRML [Ord.No.2400000024395351] [Remarks:AllStrategies] [OID:13 ],{\colortbl;\red0\green166\blue0;}\cf1NSEFO Order \b CONFIRMED \b0 for BUY HDFCBANK22JUNFUT 550 @ Rs.1328 for Client: \b 7AXU42536-NRML \b0 [Ord.No.2400000024395351] [Remarks:AllStrategies] [OID:13 ]
